beetle,age,diet pair,choice,avg.perc,sex,fat 2,fat 4,fat 6,fat 8,fat 10,prot 2,prot 4,prot 6,prot 8,prot 10,fat eaten,protein eaten,total eaten
152,21,3,3&5,59.5,f,0.056351613,0.029010452,0.050278339,0.0260585,0.059957613,0.072438387,0.059269548,0.052214161,0.054469,0.030072387,0.221656516,0.268463484,0.49012
153,21,3,3&5,59.5,f,0.017237177,0.012305952,0.004857839,0.002469258,0.014273145,0.014195323,0.034216548,0.013507161,0.006865742,0.011754355,0.051143371,0.080539129,0.1316825
154,21,3,3&5,59.5,f,0.040827226,0.026751306,0.024296984,0.023779435,0.025899855,0.041442774,0.031621194,0.032805516,0.019583065,0.007277645,0.141554806,0.132730194,0.274285
155,21,3,3&5,59.5,m,0.04565679,0.020599952,0.020748177,0.019853274,0.046861048,0.05845571,0.052982548,0.028859323,0.033714226,0.038591452,0.153719242,0.212603258,0.3663225
156,21,3,3&5,59.5,m,0.063494694,0.046168113,0.053198726,0.052287677,0.124266581,0.093922806,0.082859387,0.087753774,0.072302323,0.064613419,0.33941579,0.40145171,0.7408675
157,21,3,3&5,59.5,m,0.024046323,0.000685484,0.009521371,0.012320887,0.006735565,0.024263677,0.000564516,0.007841129,0.010146613,0.003206935,0.053309629,0.046022871,0.0993325
158,21,3,3&5,59.5,m,0.028258903,0.016940935,0.023265548,0.015202403,0.046968226,0.028561097,0.047104065,0.041404452,0.042270097,0.034756774,0.130636016,0.194096484,0.3247325
159,21,3,3&5,59.5,m,0.01209879,0.003046565,0.006113629,0.004425484,0.037535371,0.00996371,0.008470935,0.016998871,0.003644516,0.010547129,0.063219839,0.049625161,0.112845
160,21,3,3&5,59.5,m,0.051200919,0.054240177,0.033619339,0.055251645,0.08237521,0.090011581,0.063887323,0.083578161,0.052673355,0.04960229,0.27668729,0.33975271,0.61644
161,21,3,3&5,59.5,m,0.02209479,0.035115694,0.021009048,0.025145887,0.028234871,0.03504771,0.035936806,0.042143452,0.029346613,0.011190129,0.13160029,0.15366471,0.285265
162,21,3,3&5,59.5,m,0.028468145,0.038339113,0.024904145,0.017196516,0.017742161,0.023444355,0.031573387,0.037568355,0.029903484,0.014492258,0.126650081,0.136981839,0.263631919
163,21,3,3&5,59.5,m,0.049304113,0.0048165,0.008171419,0.005889677,0.025485919,0.040603387,0.012971,0.013598581,0.004850323,0.013791581,0.093667629,0.085814871,0.1794825
164,21,3,3&5,59.5,m,0.048550081,0.038644145,0.044581129,0.035271935,0.062350839,0.039982419,0.057088355,0.036713871,0.054548065,0.027559161,0.229398129,0.215891871,0.44529
165,21,3,3&5,59.5,m,0.037217661,0.021343226,0.010364565,0.012464,0.024893597,0.030649839,0.017576774,0.023602935,0.034656,0.012783903,0.106283048,0.119269452,0.2255525
166,21,3,3&5,59.5,m,0.0649445,0.043277532,0.037463435,0.032051371,0.063725339,0.081183,0.078859968,0.050669065,0.060191129,0.022572161,0.241462177,0.293475323,0.5349375
167,21,3,3&5,59.5,m,0.021182903,0.001733903,0.001741129,0,0.026286274,0.026387097,0.004821097,0.001433871,0,0.007386226,0.05094421,0.04002829,0.0909725
168,21,3,3&5,59.5,m,0.054797484,0.041714581,0.03602729,0.029482565,0.073739677,0.058662516,0.076255419,0.06573271,0.062234935,0.043690323,0.235761597,0.306575903,0.5423375
